NOME; COLUNAS; LINHAS; ALPHA; THETA; T LAB; T C2G
"data/isolum200.ppm"; 200; 200; 30; 45; 0,01; 379,549011
"data/isolum200.ppm"; 200; 200; 5; 90; 0,03; 376,881012
"data/isolum200.ppm"; 200; 200; 10; 90; 0,02; 376,833008
"data/isolum200.ppm"; 200; 200; 15; 90; 0,02; 376,858002
"data/isolum200.ppm"; 200; 200; 20; 90; 0,02; 376,799011
"data/isolum200.ppm"; 200; 200; 30; 90; 0,02; 379,570007
"data/isolum200.ppm"; 200; 200; 5; 135; 0,02; 376,725006
"data/isolum200.ppm"; 200; 200; 10; 135; 0,01; 376,686005
"data/isolum200.ppm"; 200; 200; 15; 135; 0,02; 376,682007
"data/isolum200.ppm"; 200; 200; 20; 135; 0,02; 376,721008
"data/isolum200.ppm"; 200; 200; 30; 135; 0,02; 379,622009
"data/isolum200.ppm"; 200; 200; 5; 180; 0,02; 376,726990
"data/isolum200.ppm"; 200; 200; 10; 180; 0,03; 376,700989
"data/isolum200.ppm"; 200; 200; 15; 180; 0,02; 376,681000
"data/isolum200.ppm"; 200; 200; 20; 180; 0,02; 376,744995
"data/isolum200.ppm"; 200; 200; 30; 180; 0,02; 379,661987
"data/isolum200.ppm"; 200; 200; 5; 225; 0,02; 376,774994
"data/isolum200.ppm"; 200; 200; 10; 225; 0,02; 376,807007
"data/isolum200.ppm"; 200; 200; 15; 225; 0,03; 376,769989
"data/isolum200.ppm"; 200; 200; 20; 225; 0,01; 376,792999
"data/isolum200.ppm"; 200; 200; 30; 225; 0,03; 379,653015
"data/isolum200.ppm"; 200; 200; 5; 270; 0,03; 376,817993
"data/isolum200.ppm"; 200; 200; 10; 270; 0,01; 376,855011
"data/isolum200.ppm"; 200; 200; 15; 270; 0,02; 376,855988
"data/isolum200.ppm"; 200; 200; 20; 270; 0,03; 376,885010
"data/isolum200.ppm"; 200; 200; 30; 270; 0,01; 379,752014
"data/isolum200.ppm"; 200; 200; 5; 315; 0,02; 376,752014
"data/isolum200.ppm"; 200; 200; 10; 315; 0,02; 376,755005
"data/isolum200.ppm"; 200; 200; 15; 315; 0,01; 376,743011
"data/isolum200.ppm"; 200; 200; 20; 315; 0,03; 376,816010
"data/isolum200.ppm"; 200; 200; 30; 315; 0,02; 379,514008
"data/jardim.ppm"; 320; 240; 5; 0; 0,04; 1.083,156982
"data/jardim.ppm"; 320; 240; 10; 0; 0,04; 1.188,798950
"data/jardim.ppm"; 320; 240; 15; 0; 0,04; 1.237,581055
"data/jardim.ppm"; 320; 240; 20; 0; 0,03; 1.269,806030
"data/jardim.ppm"; 320; 240; 30; 0; 0,04; 1.325,755005
"data/jardim.ppm"; 320; 240; 5; 45; 0,03; 1.082,946045
"data/jardim.ppm"; 320; 240; 10; 45; 0,03; 1.188,592041
"data/jardim.ppm"; 320; 240; 15; 45; 0,04; 1.237,425049
"data/jardim.ppm"; 320; 240; 20; 45; 0,03; 1.270,011963
"data/jardim.ppm"; 320; 240; 30; 45; 0,04; 1.326,332031
"data/jardim.ppm"; 320; 240; 5; 90; 0,04; 1.082,907959
"data/jardim.ppm"; 320; 240; 10; 90; 0,03; 1.188,435059
"data/jardim.ppm"; 320; 240; 15; 90; 0,04; 1.237,275024
"data/jardim.ppm"; 320; 240; 20; 90; 0,04; 1.269,806030
"data/jardim.ppm"; 320; 240; 30; 90; 0,04; 1.326,107056
"data/jardim.ppm"; 320; 240; 5; 135; 0,04; 1.082,995972
"data/jardim.ppm"; 320; 240; 10; 135; 0,03; 1.188,676025
"data/jardim.ppm"; 320; 240; 15; 135; 0,03; 1.237,349976
"data/jardim.ppm"; 320; 240; 20; 135; 0,03; 1.269,750977
"data/jardim.ppm"; 320; 240; 30; 135; 0,04; 1.326,093018
"data/jardim.ppm"; 320; 240; 5; 180; 0,03; 1.083,332031
"data/jardim.ppm"; 320; 240; 10; 180; 0,04; 1.188,920044
"data/jardim.ppm"; 320; 240; 15; 180; 0,04; 1.237,692017
"data/jardim.ppm"; 320; 240; 20; 180; 0,03; 1.270,152954
"data/jardim.ppm"; 320; 240; 30; 180; 0,03; 1.326,530029
"data/jardim.ppm"; 320; 240; 5; 225; 0,03; 1.083,277954
"data/jardim.ppm"; 320; 240; 10; 225; 0,04; 1.188,901001
"data/jardim.ppm"; 320; 240; 15; 225; 0,03; 1.237,564941
"data/jardim.ppm"; 320; 240; 20; 225; 0,03; 1.269,836060
"data/jardim.ppm"; 320; 240; 30; 225; 0,04; 1.326,146973
"data/jardim.ppm"; 320; 240; 5; 270; 0,04; 1.083,218018
"data/jardim.ppm"; 320; 240; 10; 270; 0,04; 1.188,796997
"data/jardim.ppm"; 320; 240; 15; 270; 0,03; 1.237,421997
"data/jardim.ppm"; 320; 240; 20; 270; 0,04; 1.269,468994
"data/jardim.ppm"; 320; 240; 30; 270; 0,04; 1.325,722046
"data/jardim.ppm"; 320; 240; 5; 315; 0,04; 1.083,439941
"data/jardim.ppm"; 320; 240; 10; 315; 0,04; 1.188,839966
"data/jardim.ppm"; 320; 240; 15; 315; 0,03; 1.237,537964
"data/jardim.ppm"; 320; 240; 20; 315; 0,04; 1.269,629028
"data/jardim.ppm"; 320; 240; 30; 315; 0,03; 1.325,850952
"data/mapa.ppm"; 172; 220; 5; 0; 0,02; 298,730011
"data/mapa.ppm"; 172; 220; 10; 0; 0,01; 370,091003
"data/mapa.ppm"; 172; 220; 15; 0; 0,02; 371,576996
"data/mapa.ppm"; 172; 220; 20; 0; 0,03; 371,481995
"data/mapa.ppm"; 172; 220; 30; 0; 0,02; 337,281006
"data/mapa.ppm"; 172; 220; 5; 45; 0,02; 299,167999
"data/mapa.ppm"; 172; 220; 10; 45; 0,02; 370,244995
"data/mapa.ppm"; 172; 220; 15; 45; 0,03; 371,811005
"data/mapa.ppm"; 172; 220; 20; 45; 0,02; 371,716003
"data/mapa.ppm"; 172; 220; 30; 45; 0,02; 337,554993
"data/mapa.ppm"; 172; 220; 5; 90; 0,02; 299,197998
"data/mapa.ppm"; 172; 220; 10; 90; 0,03; 370,375000
"data/mapa.ppm"; 172; 220; 15; 90; 0,03; 371,872009
"data/mapa.ppm"; 172; 220; 20; 90; 0,02; 371,768005
"data/mapa.ppm"; 172; 220; 30; 90; 0,02; 337,671997
"data/mapa.ppm"; 172; 220; 5; 135; 0,03; 299,240997
"data/mapa.ppm"; 172; 220; 10; 135; 0,02; 370,355011
"data/mapa.ppm"; 172; 220; 15; 135; 0,03; 371,851990
"data/mapa.ppm"; 172; 220; 20; 135; 0,02; 371,790009
"data/mapa.ppm"; 172; 220; 30; 135; 0,03; 337,651001
"data/mapa.ppm"; 172; 220; 5; 180; 0,02; 299,235992
"data/mapa.ppm"; 172; 220; 10; 180; 0,02; 370,166992
"data/mapa.ppm"; 172; 220; 15; 180; 0,02; 371,639008
"data/mapa.ppm"; 172; 220; 20; 180; 0,02; 371,592010
"data/mapa.ppm"; 172; 220; 30; 180; 0,02; 337,513000
"data/mapa.ppm"; 172; 220; 5; 225; 0,02; 298,765015
"data/mapa.ppm"; 172; 220; 10; 225; 0,02; 369,898010
"data/mapa.ppm"; 172; 220; 15; 225; 0,03; 371,437012
"data/mapa.ppm"; 172; 220; 20; 225; 0,03; 371,320007
"data/mapa.ppm"; 172; 220; 30; 225; 0,02; 337,036011
"data/mapa.ppm"; 172; 220; 5; 270; 0,01; 298,778015
"data/mapa.ppm"; 172; 220; 10; 270; 0,01; 369,920013
"data/mapa.ppm"; 172; 220; 15; 270; 0,02; 371,407013
"data/mapa.ppm"; 172; 220; 20; 270; 0,01; 371,309998
"data/mapa.ppm"; 172; 220; 30; 270; 0,02; 337,066986
"data/mapa.ppm"; 172; 220; 5; 315; 0,02; 298,790985
"data/mapa.ppm"; 172; 220; 10; 315; 0,02; 369,921997
"data/mapa.ppm"; 172; 220; 15; 315; 0,02; 371,415009
"data/mapa.ppm"; 172; 220; 20; 315; 0,02; 371,325989
"data/mapa.ppm"; 172; 220; 30; 315; 0,02; 337,098999
"data/muro.ppm"; 320; 240; 5; 0; 0,04; 1.126,933960
"data/muro.ppm"; 320; 240; 10; 0; 0,03; 1.242,671021
"data/muro.ppm"; 320; 240; 15; 0; 0,04; 1.299,235962
"data/muro.ppm"; 320; 240; 20; 0; 0,03; 1.322,536987
"data/muro.ppm"; 320; 240; 30; 0; 0,03; 1.345,090942
"data/muro.ppm"; 320; 240; 5; 45; 0,04; 1.127,391968
"data/muro.ppm"; 320; 240; 10; 45; 0,04; 1.242,802002
"data/muro.ppm"; 320; 240; 15; 45; 0,04; 1.299,318970
"data/muro.ppm"; 320; 240; 20; 45; 0,04; 1.322,572021
"data/muro.ppm"; 320; 240; 30; 45; 0,03; 1.344,957031
"data/muro.ppm"; 320; 240; 5; 90; 0,04; 1.127,416016
"data/muro.ppm"; 320; 240; 10; 90; 0,03; 1.242,984985
"data/muro.ppm"; 320; 240; 15; 90; 0,04; 1.299,505005
"data/muro.ppm"; 320; 240; 20; 90; 0,03; 1.322,817993
"data/muro.ppm"; 320; 240; 30; 90; 0,04; 1.345,208984
"data/muro.ppm"; 320; 240; 5; 135; 0,04; 1.127,439941
"data/muro.ppm"; 320; 240; 10; 135; 0,03; 1.242,807007
"data/muro.ppm"; 320; 240; 15; 135; 0,04; 1.299,266968
"data/muro.ppm"; 320; 240; 20; 135; 0,04; 1.322,519043
"data/muro.ppm"; 320; 240; 30; 135; 0,04; 1.344,843994
"data/muro.ppm"; 320; 240; 5; 180; 0,04; 1.127,078979
"data/muro.ppm"; 320; 240; 10; 180; 0,03; 1.242,480957
"data/muro.ppm"; 320; 240; 15; 180; 0,03; 1.298,936035
"data/muro.ppm"; 320; 240; 20; 180; 0,04; 1.322,083008
"data/muro.ppm"; 320; 240; 30; 180; 0,03; 1.344,629028
"data/muro.ppm"; 320; 240; 5; 225; 0,03; 1.126,425049
"data/muro.ppm"; 320; 240; 10; 225; 0,04; 1.241,957031
"data/muro.ppm"; 320; 240; 15; 225; 0,03; 1.298,520996
"data/muro.ppm"; 320; 240; 20; 225; 0,03; 1.321,786011
"data/muro.ppm"; 320; 240; 30; 225; 0,04; 1.344,146973
"data/muro.ppm"; 320; 240; 5; 270; 0,03; 1.126,651978
"data/muro.ppm"; 320; 240; 10; 270; 0,04; 1.242,266968
"data/muro.ppm"; 320; 240; 15; 270; 0,04; 1.298,968994
"data/muro.ppm"; 320; 240; 20; 270; 0,04; 1.322,489990
"data/muro.ppm"; 320; 240; 30; 270; 0,04; 1.344,719971
"data/muro.ppm"; 320; 240; 5; 315; 0,04; 1.126,571045
"data/muro.ppm"; 320; 240; 10; 315; 0,04; 1.242,275024
"data/muro.ppm"; 320; 240; 15; 315; 0,04; 1.298,963989
"data/muro.ppm"; 320; 240; 20; 315; 0,03; 1.322,311035
"data/muro.ppm"; 320; 240; 30; 315; 0,04; 1.344,973022
"data/paisagem.ppm"; 320; 240; 5; 0; 0,03; 960,101990
"data/paisagem.ppm"; 320; 240; 10; 0; 0,04; 1.078,253052
"data/paisagem.ppm"; 320; 240; 15; 0; 0,04; 1.128,615967
"data/paisagem.ppm"; 320; 240; 20; 0; 0,04; 1.156,446045
"data/paisagem.ppm"; 320; 240; 30; 0; 0,04; 1.170,564941
"data/paisagem.ppm"; 320; 240; 5; 45; 0,03; 959,960999
"data/paisagem.ppm"; 320; 240; 10; 45; 0,03; 1.078,072998
"data/paisagem.ppm"; 320; 240; 15; 45; 0,03; 1.128,251953
"data/paisagem.ppm"; 320; 240; 20; 45; 0,03; 1.156,213989
"data/paisagem.ppm"; 320; 240; 30; 45; 0,04; 1.170,157959
"data/paisagem.ppm"; 320; 240; 5; 90; 0,03; 959,799988
"data/paisagem.ppm"; 320; 240; 10; 90; 0,03; 1.077,796021
"data/paisagem.ppm"; 320; 240; 15; 90; 0,04; 1.128,119019
"data/paisagem.ppm"; 320; 240; 20; 90; 0,03; 1.155,988037
"data/paisagem.ppm"; 320; 240; 30; 90; 0,04; 1.170,010986
"data/paisagem.ppm"; 320; 240; 5; 135; 0,03; 959,942017
"data/paisagem.ppm"; 320; 240; 10; 135; 0,04; 1.077,958984
"data/paisagem.ppm"; 320; 240; 15; 135; 0,03; 1.128,160034
"data/paisagem.ppm"; 320; 240; 20; 135; 0,04; 1.155,953979
"data/paisagem.ppm"; 320; 240; 30; 135; 0,03; 1.169,998047
"data/paisagem.ppm"; 320; 240; 5; 180; 0,03; 959,630981
"data/paisagem.ppm"; 320; 240; 10; 180; 0,03; 1.078,020020
"data/paisagem.ppm"; 320; 240; 15; 180; 0,03; 1.128,355957
"data/paisagem.ppm"; 320; 240; 20; 180; 0,03; 1.156,218994
"data/paisagem.ppm"; 320; 240; 30; 180; 0,03; 1.170,173950
"data/paisagem.ppm"; 320; 240; 5; 225; 0,03; 959,752991
"data/paisagem.ppm"; 320; 240; 10; 225; 0,04; 1.078,285034
"data/paisagem.ppm"; 320; 240; 15; 225; 0,03; 1.128,567017
"data/paisagem.ppm"; 320; 240; 20; 225; 0,04; 1.156,338013
"data/paisagem.ppm"; 320; 240; 30; 225; 0,03; 1.170,270020
"data/paisagem.ppm"; 320; 240; 5; 270; 0,04; 960,151978
"data/paisagem.ppm"; 320; 240; 10; 270; 0,04; 1.078,541992
"data/paisagem.ppm"; 320; 240; 15; 270; 0,04; 1.128,689941
"data/paisagem.ppm"; 320; 240; 20; 270; 0,04; 1.156,477051
"data/paisagem.ppm"; 320; 240; 30; 270; 0,04; 1.170,526978
"data/paisagem.ppm"; 320; 240; 5; 315; 0,03; 960,416016
"data/paisagem.ppm"; 320; 240; 10; 315; 0,03; 1.078,855957
"data/paisagem.ppm"; 320; 240; 15; 315; 0,04; 1.129,055054
"data/paisagem.ppm"; 320; 240; 20; 315; 0,04; 1.156,814941
"data/paisagem.ppm"; 320; 240; 30; 315; 0,04; 1.170,765991
"data/praca.ppm"; 320; 240; 5; 0; 0,04; 1.186,368042
"data/praca.ppm"; 320; 240; 10; 0; 0,04; 1.304,462036
"data/praca.ppm"; 320; 240; 15; 0; 0,03; 1.382,524048
"data/praca.ppm"; 320; 240; 20; 0; 0,04; 1.426,853027
"data/praca.ppm"; 320; 240; 30; 0; 0,04; 1.469,574951
